pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Mei,Sunshine,Lee,,0,892678,0,Appeal2,0,0,0,1706011908,Appeal3,707 Redwood Terrace,Apt 444,North Vancouver,Home,Do Not Call,No Surveys,,Opt-out,Opt-in,Event
Peter Smith,Jane Doe,Sven M¨¹ller,no,no,Olga,Pumpkin,Nguyen,,171909,193633,146175,Appeal3,1714416316,1620617080,135047,1703295502,Appeal2,707 Redwood Terrace,Apt 909,Saanich,Home,No Mass Communications,Do Not Email,No Mass Communications,Opt-in,Opt-out,Inspiration event
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Sergei,,Íõ,,338504,0,172858,Appeal2,1611283305,1630617080,159424,1699546683,Appeal1,555 Hickory Drive,Unit 777,Parksville,Mobile,,No Mass Appeals,No Surveys,Opt-out,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Dimitri,Pumpkin,Hern¨¢ndez,,446577,985788,420888,Appeal1,1582184497,1142607262,112157,1698471748,Appeal3,222 Sycamore Lane,Unit 232,White Rock,Mobile,No Surveys,Do Not Email,No Mass Appeals,Opt-out,Opt-in,
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Olga,Love,Smith,,512035,94936,382574,Appeal3,1616458973,1027492823,104615,1710087631,Appeal3,898 Willowwood Road,Unit 111,Coquitlam,Home,Do Not Call,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Inspiration event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Juan,,Cohen,,119657,0,24803,Appeal3,1692879439,1320843515,928,1726677608,Appeal3,1414 Sycamorewood Avenue,Unit 999,West Vancouver,Work,Do Not Call,,,Opt-in,Opt-in,Appeal
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Fatima,Angel,Singh,,659602,867681,187481,Appeal2,1576728902,358797906,22790,1725778811,Appeal2,909 Aspenwood Way,Unit 777,West Vancouver,Work,No Mass Communications,,No Surveys,Opt-in,Opt-out,Magazine
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Ahmed,,M¨¹ller,,832155,0,473701,Appeal3,1647606414,1403983402,32666,1698818596,Appeal2,121 Maplewood Place,Unit 999,New Westminster,Mobile,No Mass Appeals,,No Surveys,Opt-out,Opt-out,Survey
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Carlos,Angel,§ª§Ó§Ñ§ß§à§Ó,Wacky Widgets,31138,982046,29677,Appeal2,1609672266,1600617080,1268,1721395362,Appeal3,606 Aspen Circle,Apt 909,Victoria,Home,No Surveys,No Mass Communications,,Opt-out,Opt-out,Survey
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Ingrid,,Gupta,,144274,77676,143941,Appeal2,1650932332,1700617080,75859,1700938509,Appeal3,303 Elm Drive,Apt 505,North Vancouver,Home,No Mass Communications,No Surveys,No Mass Communications,Opt-out,Opt-in,Holiday Card
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Leila,,Garc¨ªa,,994198,343364,574877,Appeal2,1576251168,1243492459,175744,1725973661,Appeal2,1919 Laurelwood Road,,Burnaby,Home,No Mass Communications,No Mass Communications,No Mass Communications,Opt-in,Opt-out,Holiday Card
Gurtrude Schmidt,Jane Doe,Sven M¨¹ller,no,no,Jane,,Hern¨¢ndez,,440004,0,270371,Appeal3,1595952158,1648603119,145651,1696441082,Appeal3,333 Magnolia Boulevard,Apt 303,Nanaimo,Work,,,No Surveys,Opt-in,Opt-out,Thank you
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,no,no,Hassan,,?,,952092,0,789190,Appeal1,1571894881,674251275,187579,1718768165,Appeal3,454 Birchwood Lane,Unit 404,Prince George,Work,No Mass Communications,,,Opt-in,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ahmed,,?,,0,755888,0,Appeal2,0,0,0,1708806747,Appeal2,909 Aspenwood Way,Apt 343,North Vancouver,Mobile,Do Not Call,,No Surveys,Opt-out,Opt-in,Magazine
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,no,no,Sven,Sweetie,Gupta,,496432,0,185034,Appeal1,1676829801,1639617080,162715,1703289836,Appeal1,404 Spruce Road,Apt 303,Prince George,Work,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,Inspiration event
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,yes,no,Zainab,,§ª§Ó§Ñ§ß§à§Ó,,0,0,0,Appeal2,0,0,0,1707723103,Appeal1,454 Birchwood Lane,Apt 303,Williams Lake,Work,,No Mass Communications,No Surveys,Opt-in,Opt-out,
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Dimitri,,×ôÌÙ,,156159,952089,103282,Appeal3,1597232287,717603884,25485,1701139116,Appeal3,333 Magnolia Boulevard,Apt 888,Nanaimo,Home,,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,
Gurtrude Schmidt,John Doe,Sven M¨¹ller,no,no,Carlos,Darling,M¨¹ller,,0,359760,0,Appeal2,0,0,0,1709804745,Appeal3,1818 Juniperwood Drive,Apt 666,Parksville,Home,No Surveys,No Surveys,No Mass Appeals,Opt-in,Opt-out,Appeal
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Leila,,M¨¹ller,,143870,978815,9947,Appeal2,1722368674,950566293,85449,1719181464,Appeal2,343 Pinewood Avenue,Apt 343,Delta,Home,No Mass Appeals,Do Not Email,,Opt-in,Opt-out,Inspiration event
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Carlos,,Jones,,0,610113,0,Appeal1,0,0,0,1713956894,Appeal3,1212 Firwood Place,Apt 121,Delta,Mobile,No Surveys,,,Opt-in,Opt-out,Event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Sergei,Honey,Gonz¨¢lez,,734676,779609,612181,Appeal3,1620914716,863779777,241288,1725205847,Appeal3,676 Elmwood Court,Apt 505,Abbotsford,Work,Do Not Call,No Mass Communications,No Mass Communications,Opt-in,Opt-in,
Parvati Patel,Alice Smith,Priya Gupta,no,no,Chao,Peach,Lee,Hilarity Holdings,0,822330,0,Appeal2,0,0,0,1724051290,Appeal2,404 Spruce Road,Unit 808,Vancouver,Work,No Mass Appeals,No Mass Appeals,No Surveys,Opt-out,Opt-in,Event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Leila,,Gonz¨¢lez,,0,519232,0,Appeal2,0,0,0,1706880129,Appeal3,808 Cypress Place,Apt 222,Abbotsford,Home,,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Research update
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Sven,,?,,566770,913363,103558,Appeal3,1609115670,1640301367,61759,1699320592,Appeal3,404 Spruce Road,,Saanich,Work,No Mass Communications,,No Surveys,Opt-out,Opt-out,Event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,,Brown,,0,299050,0,Appeal3,0,0,0,1712692297,Appeal1,555 Hickory Drive,Apt 909,Maple Ridge,Work,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-out,Magazine
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,no,no,Priya,Honey,Nguyen,,23965,373243,20901,Appeal2,1633646769,639279377,1707,1700554652,Appeal1,1515 Magnoliawood Lane,Unit 202,Kelowna,Home,Do Not Call,,No Surveys,Opt-out,Opt-in,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Hassan,,Williams,Quirky Quacks,945967,202905,277373,Appeal1,1654806002,1086272196,155462,1711701814,Appeal1,343 Pinewood Avenue,Unit 111,Surrey,Work,Do Not Call,No Mass Communications,,Opt-out,Opt-in,Thank you
Gurtrude Schmidt,John Doe,Sven M¨¹ller,yes,no,Alice,,Silva,,714376,0,510303,Appeal1,1623108593,889514439,201374,1701308591,Appeal3,1010 Redwoodwood Circle,Apt 222,Nanaimo,Mobile,Do Not Call,No Mass Appeals,No Surveys,Opt-out,Opt-in,Event
